position,title
Q14625123,King
Q54900644,Crown Prince
Q7243300,Prime Minister
Q106785048,Minister of Agriculture
Q110066975,"Minister of Awqaf, Islamic Affairs, and Holy Places"
Q58488702,Minister of Culture
Q110067675,Minister of Digital Economy and Entrepreneurship
Q54810595,Minister of Education
Q110066267,Minister of Energy and Mineral Resources
Q110066643,Minister of Environment
Q110067022,Minister of Finance
Q20716373,Minister of Foreign Affairs
Q110067245,Minister of Health
Q110065430,Minister of Higher Education and Scientific Research
Q110066325,Minister of Industry and Trade And Supply
Q108307110,Minister of Information
Q110257013,Minister of Information and Communication Technology
Q110065338,Minister of the Interior
Q110066808,Minister of Investment
Q110067612,Minister of Justice
Q110066504,Minister of Labour
Q110066853,Minister of of Local Administration
Q110066910,Minister of Planning and International Cooperation
Q110066895,Minister of Political and Parliamentary Affairs
Q110257014,Minister of Public Sector Development
Q105620514,Minister of Public Works and Housing
Q58335451,Minister of Social Development
Q110066878,Minister of Tourism and Antiquities
Q110065361,Minister of Transport
Q110065394,Minister of Water and Irrigation
Q110067108,Minister of Youth
Q55679943,Minister of Youth and Sports
Q110067973,Minister of State for Follow-up and Government Coordination
Q110068001,Minister of State for Legal Affairs
Q55498292,Minister of State for Media Affairs
Q110067963,Minister of State for Prime Ministry Affairs
Q6594880,Speaker of the Senate
Q105531070,Speaker of the Chamber of Deputies
Q110068356,Governor of the Central Bank
Q25463341,Chairman of the Joint Chiefs
Q105712662,Mayor of Amman
